capability_id,capability_group,owner_runtime,preferred_tool_or_plugin,used_for,approval_boundary,health_source,last_reviewed,notes
CAP-001,control_plane,Hermes,kanban,Durable task board and case routing,No external action from board,data/plugin_health.csv,2026-06-30,Local hermes --help confirms kanban command group.
CAP-002,scheduling,Hermes,cron,Scheduled owner briefs scans followups and learning reviews,No external/money/legal actions without approval,data/plugin_health.csv,2026-06-30,Local hermes --help confirms cron command group.
CAP-003,artifact_runtime,Codex,codex app-server,File edits parsing spreadsheets docs dashboards and plugin production,Artifacts remain drafts until approval,data/plugin_health.csv,2026-06-30,Local codex --help confirms app-server command group.
CAP-004,plugin_runtime,Codex,codex plugin,Plugin inventory and artifact departments,Network/credential-heavy plugins require approval,data/plugin_health.csv,2026-06-30,Local codex plugin list command produced inventory.
CAP-005,deep_research,ChatGPT Project,chatgpt_project,Strategy category and market research,Not final compliance authority,data/chatgpt_snapshot.md,2026-06-30,Uses bounded snapshot rather than raw database dump.
CAP-006,knowledge_bus,Google Drive,google-drive connector,Shared registers artifacts receipts and snapshots,Public sharing requires approval,config/sync_policy.yaml,2026-06-30,Dry-run sync first.
CAP-007,supplier_sourcing,Codex/Hermes,supplier-sourcing-5-3-2,Find and score suppliers using 5-3-2 rule,Quote requests require approval,data/supplier_master.csv,2026-06-30,Minimum 5 candidates and 2 quote proofs before final pricing.
CAP-008,compliance_draft,Codex/Hermes,export-compliance-review,Draft export compliance notes,Final classification/origin requires expert approval,config/approval_policy.yaml,2026-06-30,SCOMET suspicion stops flow.
CAP-009,agent_excellence,Hermes/Codex,config/agent_capability_routing.yaml,Route each Tender Export OS agent to best-in-class professional standards and local skill/plugin bundles,Capability routing does not bypass any approval gate,docs/AGENT_EXCELLENCE_SYSTEM.md,2026-06-30,References local Claude plugin and Accio skill libraries without modifying them.
CAP-010,local_skill_library,Hermes/Codex,/Volumes/RAGHAV2/aios the final/accio_skills,Supplier sourcing pricing customs documents spreadsheets invoices company research and negotiation reference workflows,Draft/internal use only; external actions and compliance decisions require approval,config/agent_capability_routing.yaml,2026-06-30,High-value skills mapped per agent.
CAP-011,local_plugin_library,Codex/Claude Code,/Volumes/RAGHAV2/aios the final/claude-plugin-files,Operations finance sales data legal browser messaging and artifact plugin families,Credential-heavy or external-message plugins require owner approval,config/plugin_routing.yaml,2026-06-30,Referenced as capability inventory; no plugin install or credential activation performed.
