source_name,source_type,url,workflow,login_required,paywalled,last_checked_date,health_status,relevance_score,avg_leads_per_week,last_lead_found,successful_cases,total_checks,consecutive_failures,notes
GeM — Government e-Marketplace,primary,https://gem.gov.in,GOV,FALSE,FALSE,2026-06-30,Working,95,12,2026-06-30,7,46,0,Public listing/landing page checked; no deep-read or form submission. Radar batch 20260630131554: created_cases=4.
CPPP — Central Public Procurement Portal,primary,https://eprocure.gov.in/cppp/,GOV,FALSE,FALSE,2026-06-30,Working,88,8,2026-06-29,1,46,0,Public listing/landing page checked; no deep-read or form submission. Radar batch 20260630131554: created_cases=0.
eProcure NIC,primary,https://eprocure.gov.in,GOV,FALSE,FALSE,2026-06-30,Working,82,6,2026-06-28,0,41,0,Public listing/landing page checked; no deep-read or form submission. Radar batch 20260630131554: created_cases=0.
Tender Tiger,aggregator,https://www.tendertiger.com,GOV,TRUE,TRUE,2026-06-30,Paywalled,60,0,2026-06-01,0,6,4,Skipped by radar policy: paywalled/login-required source. Radar batch 20260630131554: created_cases=0.
India Business Portal (DGFT),indian_government,https://www.indiabusinessportal.gov.in,EXPORT,FALSE,FALSE,2026-06-30,Broken,85,4,2026-06-29,1,31,1,2026-06-30 export batch scan: DNS resolution failed during scan; no buyer RFQ page reached.
Indian Trade Portal,indian_government,https://www.indiantradeportal.in,EXPORT,FALSE,FALSE,2026-06-30,Access Blocked,75,2,2026-06-27,0,31,1,2026-06-30 export batch scan: Public fetch returned HTTP 403; no RFQ created.
Alibaba RFQ,b2b_platform,https://rfq.alibaba.com,EXPORT,TRUE,FALSE,2026-06-30,Needs Login,90,15,2026-06-30,2,46,0,"2026-06-30 export batch scan: Configured login/manual source; public landing page only, no buyer details extracted."
FIEO Connect,epc,https://connect.fieo.org,EXPORT,TRUE,FALSE,2026-06-30,Needs Login,72,3,2026-06-20,1,16,0,2026-06-30 export batch scan: Configured manual/login source; DNS resolution also failed during landing-page probe.
APEDA AgriXchange,sector_specific,https://agriexchange.apeda.gov.in,EXPORT,FALSE,FALSE,2026-06-30,Needs Login,78,2,2026-06-25,1,21,0,"2026-06-30 export batch scan: Home page reachable, but /Buyer/BuyLeads redirected to exporter login; no public buyer lead extracted."
IndiaMART Supplier,india_b2b,https://www.indiamart.com,SUPPLIER,FALSE,FALSE,2026-06-30,Working,92,0,2026-06-30,4,50,0,Primary supplier discovery source. Use for every case.
TradeIndia Supplier,india_b2b,https://www.tradeindia.com,SUPPLIER,FALSE,FALSE,2026-06-28,Working,80,0,2026-06-28,2,35,0,Secondary B2B. Use to cross-check IndiaMART.
GeM Seller Directory,gem_seller,https://mkp.gem.gov.in,SUPPLIER,FALSE,FALSE,2026-06-29,Working,88,0,2026-06-29,2,30,0,Pre-verified for govt supply. Priority for GOV tenders.
Alibaba Global Suppliers,global_b2b,https://www.alibaba.com,SUPPLIER,FALSE,FALSE,2026-06-27,Working,85,0,2026-06-27,1,25,0,Use for price benchmarking and global supply.
Spices Board India,sector_specific,https://www.indianspices.com,EXPORT,FALSE,FALSE,2026-06-30,Working,,,,,1,0,"2026-06-30 export batch scan: Public site reachable; tenders/trade enquiry pages found, but no export buyer RFQ created in this scan."
Global Sources,b2b_platform,https://www.globalsources.com,EXPORT,TRUE,FALSE,2026-06-30,Access Blocked,,,,,1,1,2026-06-30 export batch scan: Bot/cookie interstitial encountered; no buyer RFQ extracted.
EC21,b2b_platform,https://www.ec21.com,EXPORT,FALSE,FALSE,2026-06-30,Access Blocked,,,,,1,1,2026-06-30 export batch scan: Public fetch returned HTTP 403; no RFQ created.
TradeKey,b2b_platform,https://www.tradekey.com,EXPORT,FALSE,FALSE,2026-06-30,Working,,,2026-06-30,2,1,0,2026-06-30 export batch scan: Public latest buy offers reached; created cases for rice and juniper oil leads; skipped purge lump as non-export/inactive category fit.
Made-in-China (Buying Leads),b2b_platform,https://inquiry.made-in-china.com,EXPORT,TRUE,FALSE,2026-06-30,Needs Login,,,,,1,0,2026-06-30 export batch scan: Configured login/manual source; DNS resolution failed during landing-page probe.
UN Global Marketplace (UNGM),multilateral,https://www.ungm.org,EXPORT,TRUE,FALSE,2026-06-30,Needs Login,,,,,1,0,2026-06-30 export batch scan: Configured login/manual source; public probe returned HTTP 403.
World Bank Procurement Notices,multilateral,https://www.worldbank.org/en/projects-and-operations/procurement,EXPORT,FALSE,FALSE,2026-06-30,Working,,,,,1,0,2026-06-30 export batch scan: Configured URL returned 404; corrected public URL https://projects.worldbank.org/en/projects-operations/procurement was reachable/API scanned. Latest matching goods notice was complex lab/chemical equipment and no case was created.
UNDP Procurement Notices,multilateral,https://procurement-notices.undp.org,EXPORT,FALSE,FALSE,2026-06-30,Working,,,2026-06-30,2,1,0,2026-06-30 export batch scan: Public notices reached; created cases for food kits and hygiene supplies; Quantum registration required before any bid action.
African Development Bank Tenders,multilateral,https://www.afdb.org/en/projects-and-operations/procurement,EXPORT,FALSE,FALSE,2026-06-30,Access Blocked,,,,,1,1,2026-06-30 export batch scan: Public fetch returned HTTP 403; no RFQ created.
ExportersIndia,directory,https://www.exportersindia.com,EXPORT,FALSE,FALSE,2026-06-30,Working,,,,,1,0,2026-06-30 export batch scan: Public site reachable; post-buy-requirement page found but no public buyer RFQ extracted.
IndiaMart — Buyer Leads,b2b_platform,https://www.indiamart.com/buy-leads/,EXPORT,FALSE,FALSE,2026-06-30,URL Changed,,,,,1,1,"2026-06-30 export batch scan: Configured URL returned 404. Alternate /buyers/ page reachable but looked like a domestic profile, not export RFQ; no case created."
e-Tender Punjab,state,https://eproc.punjab.gov.in,GOV,FALSE,FALSE,2026-06-30,Working,80,0,,0,1,0,Public listing/landing page checked; no deep-read or form submission. Radar batch 20260630131554: created_cases=0.
e-Tender Maharashtra,state,https://mahatenders.gov.in,GOV,FALSE,FALSE,2026-06-30,Working,80,1,2026-06-30,1,1,0,Public listing/landing page checked; no deep-read or form submission. Radar batch 20260630131554: created_cases=1.
IREPS — Indian Railways,psu,https://www.ireps.gov.in,GOV,FALSE,FALSE,2026-06-30,Manual Check Required,50,0,,0,1,1,Home reachable; public tender search is JavaScript-routed/manual. No login/CAPTCHA bypass attempted. Radar batch 20260630131554: created_cases=0.
ONGC Tenders,psu,https://www.ongcindia.com/wps/wcm/connect/en/tender/,GOV,FALSE,FALSE,2026-06-30,Working,80,0,,0,1,0,Public listing/landing page checked; no deep-read or form submission. Radar batch 20260630131554: created_cases=0.
BHEL Tenders,psu,https://www.bhel.com/en/tender,GOV,FALSE,FALSE,2026-06-30,Working,80,0,,0,1,0,Configured /en/tender URL returned 404; alternate public /tenders page checked successfully. Radar batch 20260630131554: created_cases=0.
Tenders Info,aggregator,https://www.tendersinfo.com,GOV,TRUE,TRUE,2026-06-30,Paywalled,50,0,,0,1,1,Skipped by radar policy: paywalled/login-required source. Radar batch 20260630131554: created_cases=0.
Defence Procurement Portal (MoD),defence,https://defproc.gov.in,GOV,FALSE,FALSE,2026-06-30,Working,80,0,,0,1,0,Public listing/landing page checked; no deep-read or form submission. Radar batch 20260630131554: created_cases=0.
NSIC Portal,sme_specific,https://www.nsic.co.in,GOV,FALSE,FALSE,2026-06-30,Working,80,0,,0,1,0,Public listing/landing page checked; no deep-read or form submission. Radar batch 20260630131554: created_cases=0.
