plugin_or_tool,runtime,check_command,last_checked_at,health_status,version_or_signal,blocker,next_check,notes
,,,,Working,,,,
,,,,Working,,,,
,,,,Working,,,,
ares-hermes,Hermes,ares-hermes,2026-06-30T00:00:00+05:30,Working,binary found,,weekly,Local CLI available at /Users/raghav/.ares/bin/ares-hermes.
chatgpt_project,ChatGPT Project,manual snapshot handoff,2026-06-30T00:00:00+05:30,Working,local snapshot workflow,,weekly,Use data/chatgpt_snapshot.md.
codex,Codex,codex --version,2026-06-30T00:00:00+05:30,Working,codex-cli 0.141.0,,weekly,Local CLI available at /opt/homebrew/bin/codex.
codex_app_server,Codex,codex --help,2026-06-30T00:00:00+05:30,Working,app-server command present,,weekly,Use app-server before fallback bridge.
codex_plugins,Codex,codex plugin list --available --json,2026-06-30T00:00:00+05:30,Working,inventory command returned JSON,,weekly,Large inventory; route through config/plugin_routing.yaml.
google_drive,Google Drive,connector auth check,2026-06-30T00:00:00+05:30,Manual Check Required,not checked,connector auth not verified,weekly,Do not sync until connector/auth is confirmed.
hermes,Hermes,hermes --help,2026-06-30T00:00:00+05:30,Working,cron kanban skills memory tools mcp sessions gateway serve present,,weekly,Local CLI available at /Users/raghav/.local/bin/hermes.
