case_id,workflow_type,source_name,source_url,opportunity_title,buyer_name,buyer_type,location,state,product_or_service,quantity,unit,estimated_value_inr,estimated_value_usd,deadline_date,days_to_deadline,emd_amount_inr,turnover_required_inr,past_experience_required,experience_details,msme_reserved,oem_required,mandatory_certs,delivery_location,delivery_days,payment_terms,penalty_clause,status,score_gov,score_export,kill_reason,deep_read_done,supplier_search_done,pricing_done,approval_status,approved_by,approved_at,submitted_at,follow_up_date,result,hsn_itchs_candidate,export_policy,scomet_flag,buyer_country,buyer_credibility_score,incoterms_proposed,fob_price_usd,cif_price_usd,notes,created_at,updated_at,created_by_agent
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://go4worldbusiness.com/inquiries/send/buyleads/1304702/wanted--agarbatti-incense-sticks,,,,,,,,,,,,,,,,,,,,,,,,WATCHLIST,,,,,,,,,,,,,,,,,,,,,,,,
EXP-20260630-001,EXPORT,Alibaba RFQ,https://rfq.alibaba.com,Organic Turmeric Powder - 5MT Monthly,Gulf Naturals Trading LLC,Private Company,,,Spices and Condiments,5000,KG,,,2026-07-10,10,,,,FALSE,,FALSE,,Dubai UAE,45,30% advance + 70% against BL,None stated,SUPPLIER_SEARCH,,72,,TRUE,TRUE,FALSE,APPROVED,raghav_standing_supplier_outreach_authorization,2026-06-30,,,,0902.30,Free,FALSE,UAE,72,FOB,,,Buyer verified via Dun & Bradstreet. 5 suppliers being sourced.,2026-06-30,2026-06-30,radar_agent
EXP-20260630-002,EXPORT,Recovered local registers,,Brass Decorative Items - Mixed Set,Unknown UK buyer - see approval register,Export buyer,United Kingdom,,Brass Decorative Items,200,Pieces,56000,680,,,,,,,,,,,,Not approved - pending owner review,,APPROVAL_REQUIRED,,,,TRUE,TRUE,TRUE,PENDING,,,,,,8306 candidate only,Draft review required,FALSE,United Kingdom,,FOB,4.56,,"Recovered from data/approvals_receipts.csv APR-001, data/quote_master.csv Q-003, data/supplier_master.csv SUP-004, and agent_run_log RUN-005/RUN-006. Buyer identity/source URL missing; do not send externally until approval card is corrected.",2026-06-30,2026-06-30,system_health_recovery
GOV-20260630-001,GOV,GeM,https://gem.gov.in,Supply of Office Stationery Q2 2026,District Collectorate Pune,Government,Pune,Maharashtra,Office Stationery and Supplies,500,Set,125000,,2026-07-15,15,5000,,FALSE,,TRUE,FALSE,BIS where applicable,Pune Collectorate,14,Payment within 30 days of delivery,2% penalty per week up to 10%,SUPPLIER_SEARCH,78,,,TRUE,FALSE,FALSE,APPROVED,raghav_standing_supplier_outreach_authorization,2026-06-30,,,,,,,,,,,,Supplier proof incomplete; only one quote is recorded. Pending approval APR-002 must be resolved before any further supplier quote request.,2026-06-30,2026-06-30,radar_agent
GOV-20260630-002,GOV,CPPP,https://eprocure.gov.in,Supply of Safety Helmets and PPE Kit,NHPC Limited,PSU,Jammu,J&K,Safety Equipment and PPE,2000,Unit,400000,,2026-07-05,5,20000,5000000,TRUE,3 years similar supply to PSU,,FALSE,BIS IS:2925 mandatory,Salal Dam Site - Remote,21,45 days post delivery,1% per week,REJECTED,,,"DEADLINE_TOO_CLOSE, PAST_EXPERIENCE_NOT_MET",FALSE,FALSE,FALSE,,,,,,,,,,,,,,,Rejected: 5-day deadline + experience gap,2026-06-30,2026-06-30,fast_kill_agent
