plugin_or_tool,runtime,check_command,last_checked_at,health_status,version_or_signal,blocker,next_check,notes
hermes,Hermes,hermes --help,2026-06-30T00:00:00+05:30,Working,cron kanban skills memory tools mcp sessions gateway serve present,,weekly,Local CLI available at /Users/raghav/.local/bin/hermes.
ares-hermes,Hermes,ares-hermes,2026-06-30T00:00:00+05:30,Working,binary found,,weekly,Local CLI available at /Users/raghav/.ares/bin/ares-hermes.
codex,Codex,codex --version,2026-06-30T00:00:00+05:30,Working,codex-cli 0.141.0,,weekly,Local CLI available at /opt/homebrew/bin/codex.
codex_app_server,Codex,codex --help,2026-06-30T00:00:00+05:30,Working,app-server command present,,weekly,Use app-server before fallback bridge.
codex_plugins,Codex,codex plugin list --available --json,2026-06-30T00:00:00+05:30,Working,inventory command returned JSON,,weekly,Large inventory; route through config/plugin_routing.yaml.
google_drive,Google Drive,gws drive files list,2026-06-30T04:00:00+05:30,Working,gws 0.9.1 — authenticated,,weekly,gws CLI at /opt/homebrew/bin/gws. Auth OK (token_cache.json present). Use: gws drive files list / upload / download. Set DRIVE_ROOT_FOLDER_ID to Knowledge Bus folder before executing sync.
gws_cli,gws CLI,gws --version,2026-06-30T04:00:00+05:30,Working,gws 0.9.1,,weekly,"Google Workspace CLI at /opt/homebrew/bin/gws. Use for Drive upload/download/search, Sheets read/write, Gmail, Calendar. Auth: gws auth login -s drive,sheets. Scripts: sync_to_drive.py and import_from_drive.py."
chatgpt_project,ChatGPT Project,manual snapshot handoff,2026-06-30T00:00:00+05:30,Working,local snapshot workflow,,weekly,Use data/chatgpt_snapshot.md.
telegram_mobile_delivery,Hermes Gateway,hermes send --to telegram:<dm> --json <harmless_message>,2026-06-30T12:45:11,Working,message_id=7 mirrored=true,,weekly,Harmless mobile delivery probe succeeded; receipt=receipts/mobile_delivery/SYSTEM-90PLUS-DELIVERY-TEST_20260630124345_final_retry.json.
google_drive_external_sync,Google Drive,gws drive files create --upload <non_sensitive_test_file>,2026-06-30T12:45:11,Working,uploaded_file_id=1pYbjWcsOUk5MWzh8zNV9lMGuOhxIWgug,gws emitted token-cache decrypt warning but command succeeded,weekly,One non-sensitive Drive sync probe succeeded; receipt=receipts/drive_sync/SYSTEM-90PLUS-DELIVERY-TEST_20260630124313_google_drive_sync.json.
telegram_cron_delivery,Hermes Cron + Gateway,hermes send --to telegram --json <harmless_message>; cronjob update deliver=telegram,2026-06-30T13:01:38,Working,home-channel send succeeded; 5 cron jobs deliver=telegram,,weekly,Telegram home delivery verified for scheduled briefs/cron. Receipt=receipts/mobile_delivery/SYSTEM-TELEGRAM-HOME-CRON-SETUP_20260630130044.json.
