source_name,source_type,url,workflow,login_required,paywalled,last_checked_date,health_status,relevance_score,avg_leads_per_week,last_lead_found,successful_cases,total_checks,consecutive_failures,notes
APEDA AgriXchange,sector_specific,https://agriexchange.apeda.gov.in,EXPORT,FALSE,FALSE,2026-06-25,Working,78,2,2026-06-25,1,20,0,Good for agri/spice leads.
Alibaba Global Suppliers,global_b2b,https://www.alibaba.com,SUPPLIER,FALSE,FALSE,2026-06-27,Working,85,0,2026-06-27,1,25,0,Use for price benchmarking and global supply.
Alibaba RFQ,b2b_platform,https://rfq.alibaba.com,EXPORT,TRUE,FALSE,2026-06-30,Needs Login,90,15,2026-06-30,2,45,0,High volume RFQs. Login needed. Verify buyers carefully.
CPPP — Central Public Procurement Portal,primary,https://eprocure.gov.in/cppp/,GOV,FALSE,FALSE,2026-06-30,Working,88,8,2026-06-29,1,45,0,Central govt tenders. Check corrigenda tab.
FIEO Connect,epc,https://connect.fieo.org,EXPORT,TRUE,FALSE,2026-06-20,Needs Login,72,3,2026-06-20,1,15,0,Good quality leads when accessible. Registration needed.
GeM Seller Directory,gem_seller,https://mkp.gem.gov.in,SUPPLIER,FALSE,FALSE,2026-06-29,Working,88,0,2026-06-29,2,30,0,Pre-verified for govt supply. Priority for GOV tenders.
GeM — Government e-Marketplace,primary,https://gem.gov.in,GOV,FALSE,FALSE,2026-06-30,Working,95,12,2026-06-30,3,45,0,Best GOV source. API available. Check daily.
India Business Portal (DGFT),indian_government,https://www.indiabusinessportal.gov.in,EXPORT,FALSE,FALSE,2026-06-30,Working,85,4,2026-06-29,1,30,0,Genuine foreign buyer RFQs. Check daily.
IndiaMART Supplier,india_b2b,https://www.indiamart.com,SUPPLIER,FALSE,FALSE,2026-06-30,Working,92,0,2026-06-30,4,50,0,Primary supplier discovery source. Use for every case.
Indian Trade Portal,indian_government,https://www.indiantradeportal.in,EXPORT,FALSE,FALSE,2026-06-30,Working,75,2,2026-06-27,0,30,0,Market data and buyer directory. Less real-time RFQs.
Tender Tiger,aggregator,https://www.tendertiger.com,GOV,TRUE,TRUE,2026-06-15,Paywalled,60,0,2026-06-01,0,5,3,Paywalled — skip until subscription confirmed.
TradeIndia Supplier,india_b2b,https://www.tradeindia.com,SUPPLIER,FALSE,FALSE,2026-06-28,Working,80,0,2026-06-28,2,35,0,Secondary B2B. Use to cross-check IndiaMART.
eProcure NIC,primary,https://eprocure.gov.in,GOV,FALSE,FALSE,2026-06-30,Working,82,6,2026-06-28,0,40,0,Wide coverage. Slow UI. Web scrape with care.
