source_name,source_type,url,workflow,login_required,paywalled,last_checked_date,health_status,relevance_score,avg_leads_per_week,last_lead_found,successful_cases,total_checks,consecutive_failures,notes
,,,,,,,,,,,,,,
,,https://www.indiantradeportal.in,,,,,Access Blocked,,,,,,,
,,https://www.indianspices.com,,,,,Working,,,,,,,
,,https://www.globalsources.com,,,,,Access Blocked,,,,,,,
,,https://www.ec21.com,,,,,Access Blocked,,,,,,,
,,https://www.tradekey.com,,,,,Working,,,,,,,
,,https://inquiry.made-in-china.com,,,,,Needs Login,,,,,,,
,,https://www.ungm.org,,,,,Needs Login,,,,,,,
,,https://www.worldbank.org/en/projects-and-operations/procurement,,,,,Working,,,,,,,
,,https://procurement-notices.undp.org,,,,,Working,,,,,,,
,,https://www.afdb.org/en/projects-and-operations/procurement,,,,,Access Blocked,,,,,,,
,,https://www.exportersindia.com,,,,,Working,,,,,,,
,,https://www.indiamart.com/buy-leads/,,,,,URL Changed,,,,,,,
APEDA AgriXchange,sector_specific,https://agriexchange.apeda.gov.in,EXPORT,FALSE,FALSE,2026-06-25,Needs Login,78,2,2026-06-25,1,20,0,Good for agri/spice leads.
Alibaba Global Suppliers,global_b2b,https://www.alibaba.com,SUPPLIER,FALSE,FALSE,2026-06-27,Working,85,0,2026-06-27,1,25,0,Use for price benchmarking and global supply.
Alibaba RFQ,b2b_platform,https://rfq.alibaba.com,EXPORT,TRUE,FALSE,2026-06-30,Needs Login,90,15,2026-06-30,2,45,0,High volume RFQs. Login needed. Verify buyers carefully.
BHEL Tenders,psu,https://www.bhel.com/en/tender,GOV,FALSE,FALSE,2026-06-30,Working,80,0,,0,1,0,Configured /en/tender URL returned 404; alternate public /tenders page checked successfully. Radar batch 20260630131554: created_cases=0.
CPPP — Central Public Procurement Portal,primary,https://eprocure.gov.in/cppp/,GOV,FALSE,FALSE,2026-06-30,Working,88,8,2026-06-29,1,46,0,Public listing/landing page checked; no deep-read or form submission. Radar batch 20260630131554: created_cases=0.
Defence Procurement Portal (MoD),defence,https://defproc.gov.in,GOV,FALSE,FALSE,2026-06-30,Working,80,0,,0,1,0,Public listing/landing page checked; no deep-read or form submission. Radar batch 20260630131554: created_cases=0.
FIEO Connect,epc,https://connect.fieo.org,EXPORT,TRUE,FALSE,2026-06-20,Needs Login,72,3,2026-06-20,1,15,0,Good quality leads when accessible. Registration needed.
GeM Seller Directory,gem_seller,https://mkp.gem.gov.in,SUPPLIER,FALSE,FALSE,2026-06-29,Working,88,0,2026-06-29,2,30,0,Pre-verified for govt supply. Priority for GOV tenders.
GeM — Government e-Marketplace,primary,https://gem.gov.in,GOV,FALSE,FALSE,2026-06-30,Working,95,12,2026-06-30,7,46,0,Public listing/landing page checked; no deep-read or form submission. Radar batch 20260630131554: created_cases=4.
IREPS — Indian Railways,psu,https://www.ireps.gov.in,GOV,FALSE,FALSE,2026-06-30,Manual Check Required,50,0,,0,1,1,Home reachable; public tender search is JavaScript-routed/manual. No login/CAPTCHA bypass attempted. Radar batch 20260630131554: created_cases=0.
India Business Portal (DGFT),indian_government,https://www.indiabusinessportal.gov.in,EXPORT,FALSE,FALSE,2026-06-30,Broken,85,4,2026-06-29,1,30,0,Genuine foreign buyer RFQs. Check daily.
IndiaMART Supplier,india_b2b,https://www.indiamart.com,SUPPLIER,FALSE,FALSE,2026-06-30,Working,92,0,2026-06-30,4,50,0,Primary supplier discovery source. Use for every case.
Indian Trade Portal,indian_government,https://www.indiantradeportal.in,EXPORT,FALSE,FALSE,2026-06-30,Working,75,2,2026-06-27,0,30,0,Market data and buyer directory. Less real-time RFQs.
NSIC Portal,sme_specific,https://www.nsic.co.in,GOV,FALSE,FALSE,2026-06-30,Working,80,0,,0,1,0,Public listing/landing page checked; no deep-read or form submission. Radar batch 20260630131554: created_cases=0.
ONGC Tenders,psu,https://www.ongcindia.com/wps/wcm/connect/en/tender/,GOV,FALSE,FALSE,2026-06-30,Working,80,0,,0,1,0,Public listing/landing page checked; no deep-read or form submission. Radar batch 20260630131554: created_cases=0.
Tender Tiger,aggregator,https://www.tendertiger.com,GOV,TRUE,TRUE,2026-06-30,Paywalled,60,0,2026-06-01,0,6,4,Skipped by radar policy: paywalled/login-required source. Radar batch 20260630131554: created_cases=0.
Tenders Info,aggregator,https://www.tendersinfo.com,GOV,TRUE,TRUE,2026-06-30,Paywalled,50,0,,0,1,1,Skipped by radar policy: paywalled/login-required source. Radar batch 20260630131554: created_cases=0.
TradeIndia Supplier,india_b2b,https://www.tradeindia.com,SUPPLIER,FALSE,FALSE,2026-06-28,Working,80,0,2026-06-28,2,35,0,Secondary B2B. Use to cross-check IndiaMART.
e-Tender Maharashtra,state,https://mahatenders.gov.in,GOV,FALSE,FALSE,2026-06-30,Working,80,1,2026-06-30,1,1,0,Public listing/landing page checked; no deep-read or form submission. Radar batch 20260630131554: created_cases=1.
e-Tender Punjab,state,https://eproc.punjab.gov.in,GOV,FALSE,FALSE,2026-06-30,Working,80,0,,0,1,0,Public listing/landing page checked; no deep-read or form submission. Radar batch 20260630131554: created_cases=0.
eProcure NIC,primary,https://eprocure.gov.in,GOV,FALSE,FALSE,2026-06-30,Working,82,6,2026-06-28,0,41,0,Public listing/landing page checked; no deep-read or form submission. Radar batch 20260630131554: created_cases=0.
