research_id,category_code,category_name,country,buyer_type,source_tier,source_name,source_url,market_fit_score,source_reliability_score,evidence_density_score,recommended_next_action,approval_required,notes,created_at,updated_at
DEM-EXP-AGRI-001-AFRICA-1,EXP-AGRI-001,Agricultural Commodities,Africa,Institutional procurement desk,TIER_1_INSTITUTIONAL,UN Global Marketplace (UNGM),https://www.ungm.org,72,88,70,"Scan public notices for buyer-specific RFQs with reference, product, country, deadline, and portal/contact path.",FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-AGRI-001-AFRICA-2,EXP-AGRI-001,Agricultural Commodities,Africa,Sector board or export promotion desk,TIER_2_SECTOR,FIEO Connect,https://connect.fieo.org,62,72,55,Use sector board evidence to identify country demand lanes; do not count as RFQ until buyer proof exists.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-AGRI-001-AFRICA-4,EXP-AGRI-001,Agricultural Commodities,Africa,Marketplace lead triage,TIER_4_MARKETPLACE_RFQ,Alibaba — Buyer RFQs,https://rfq.alibaba.com,50,38,30,Treat as weak lead; require unmasked buyer identity and RFQ proof before promotion.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-AGRI-001-AFRICA-5,EXP-AGRI-001,Agricultural Commodities,Africa,Named account research,TIER_5_STRATEGIC_ACCOUNT,India Business Portal (DGFT),https://www.indiabusinessportal.gov.in,62,52,35,Create named target-account research packet for owner-approved outreach drafting.,TRUE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-AGRI-001-SOUTHEASTASI-1,EXP-AGRI-001,Agricultural Commodities,Southeast Asia,Institutional procurement desk,TIER_1_INSTITUTIONAL,UN Global Marketplace (UNGM),https://www.ungm.org,72,88,70,"Scan public notices for buyer-specific RFQs with reference, product, country, deadline, and portal/contact path.",FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-AGRI-001-SOUTHEASTASI-2,EXP-AGRI-001,Agricultural Commodities,Southeast Asia,Sector board or export promotion desk,TIER_2_SECTOR,FIEO Connect,https://connect.fieo.org,62,72,55,Use sector board evidence to identify country demand lanes; do not count as RFQ until buyer proof exists.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-AGRI-001-SOUTHEASTASI-4,EXP-AGRI-001,Agricultural Commodities,Southeast Asia,Marketplace lead triage,TIER_4_MARKETPLACE_RFQ,Alibaba — Buyer RFQs,https://rfq.alibaba.com,50,38,30,Treat as weak lead; require unmasked buyer identity and RFQ proof before promotion.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-AGRI-001-SOUTHEASTASI-5,EXP-AGRI-001,Agricultural Commodities,Southeast Asia,Named account research,TIER_5_STRATEGIC_ACCOUNT,India Business Portal (DGFT),https://www.indiabusinessportal.gov.in,62,52,35,Create named target-account research packet for owner-approved outreach drafting.,TRUE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-AGRI-001-UAE-1,EXP-AGRI-001,Agricultural Commodities,UAE,Institutional procurement desk,TIER_1_INSTITUTIONAL,UN Global Marketplace (UNGM),https://www.ungm.org,72,88,70,"Scan public notices for buyer-specific RFQs with reference, product, country, deadline, and portal/contact path.",FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-AGRI-001-UAE-2,EXP-AGRI-001,Agricultural Commodities,UAE,Sector board or export promotion desk,TIER_2_SECTOR,FIEO Connect,https://connect.fieo.org,62,72,55,Use sector board evidence to identify country demand lanes; do not count as RFQ until buyer proof exists.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
